Permit Type,Street Number,Unit,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Estimated Cost,Revised Cost,Existing Units,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Proposed Construction Type,Supervisor District,Zipcode,Record ID
3,900,534.0,7.0,7.0,,85000.0,85000.0,54.0,54.0,2,,4.0,4.0,2.0,94109,1497460501832
6,40,,3.0,3.0,,50000.0,50000.0,2.0,2.0,2,,5.0,5.0,8.0,94114,1506747139617
1,855,527.0,8.0,8.0,,20000.0,22347.0,187.0,187.0,0,,1.0,1.0,6.0,94107,1505230395488
7,1259,0.0,4.0,4.0,,1.0,1.0,3.0,3.0,2,,5.0,5.0,3.0,94109,1511949295403
8,1174,,,6.0,,5000.0,5000.0,,42.0,2,,,3.0,6.0,94103,1500338165255
4,150,,18.0,18.0,,1250.0,2068.0,,,2,,1.0,1.0,6.0,94105,1500126164642
6,388,,26.0,26.0,,4000.0,4000.0,63.0,63.0,2,,1.0,1.0,3.0,94111,1492870233366
6,475,0.0,20.0,20.0,,2000.0,2150.0,0.0,0.0,2,,1.0,1.0,3.0,94111,1501761296673
8,150,,18.0,18.0,,89000.0,89000.0,,,2,,1.0,1.0,6.0,94105,1496316164642
3,44,0.0,44.0,44.0,,18500.0,31020.0,,,2,,1.0,1.0,3.0,94104,1498541299398
3,201,,12.0,12.0,,200000.0,200000.0,,,2,,1.0,1.0,6.0,94103,1499542347067
7,1819,,4.0,4.0,,38000.0,38000.0,16.0,16.0,2,,3.0,3.0,5.0,94115,1501106239652
7,393,,3.0,3.0,,58000.0,69800.0,26.0,26.0,2,,5.0,5.0,5.0,94102,1496430504466
5,10,,,3.0,,3600.0,3600.0,,31.0,2,,,5.0,10.0,94124,1494402493649
6,1099,17.0,4.0,4.0,,1840.0,15000.0,20.0,20.0,0,,5.0,5.0,10.0,94107,1495186482602
3,1201,,4.0,4.0,,1400.0,1400.0,0.0,0.0,2,,1.0,1.0,6.0,94103,1506684373860
6,625,,4.0,4.0,,50000.0,240000.0,0.0,0.0,2,,1.0,1.0,6.0,94107,1499942167843
4,3900,3.0,,,,1.0,1.0,,,0,,,,1.0,94118,149631896728
7,555,0.0,52.0,52.0,,600000.0,600000.0,,,2,,1.0,1.0,3.0,94104,1503870298587
8,1,1.0,9.0,9.0,,3000.0,3000.0,239.0,239.0,2,,1.0,1.0,2.0,94109,151135479578
8,1321,,3.0,3.0,,1.0,1.0,8.0,8.0,2,,5.0,5.0,3.0,94133,1496406230566
1,2423,,,4.0,,81000.0,197000.0,0.0,12.0,2,,,5.0,9.0,94103,1325250489972
7,650,0.0,33.0,33.0,,2100.0,2100.0,,,2,,1.0,1.0,3.0,94108,1499063296980
8,2341,,4.0,4.0,,20000.0,20000.0,21.0,21.0,2,,5.0,5.0,2.0,94123,1505080238257
3,555,,21.0,21.0,,12000.0,0.0,,,2,,1.0,1.0,6.0,94105,1501618507761
2,181,,55.0,55.0,,1300000.0,1300000.0,74.0,74.0,2,,1.0,1.0,6.0,94105,1501840510886
6,250,,16.0,16.0,,750000.0,750000.0,,,2,,1.0,1.0,3.0,94104,149410966176
6,425,,38.0,38.0,,7150.0,7150.0,,,2,,1.0,1.0,6.0,94105,1497612164577
4,847,,3.0,3.0,,79100.0,79100.0,6.0,6.0,2,,5.0,5.0,5.0,94117,151100091465
1,425,,38.0,38.0,,180000.0,180000.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1499096164577
4,98,,2.0,2.0,,9000.0,9000.0,,,2,,2.0,2.0,7.0,94127,1499257147424
6,560,,31.0,31.0,,30000.0,30000.0,,,2,,1.0,1.0,6.0,94105,1493558454613
8,2620,,4.0,4.0,,24000.0,58996.0,3.0,3.0,2,,5.0,5.0,2.0,94115,1504334235592
4,315,0.0,17.0,17.0,,7000.0,7000.0,,,2,,1.0,1.0,3.0,94104,1495336298474
1,953,,2.0,2.0,,30000.0,42000.0,,,2,,3.0,3.0,10.0,94107,1497509170878
2,61,,2.0,2.0,,70000.0,70000.0,0.0,0.0,2,,3.0,3.0,6.0,94107,1506995369593
8,1420,,15.0,15.0,,18000.0,18000.0,142.0,142.0,0,,1.0,1.0,5.0,94115,1499551366050
4,1061,0.0,3.0,3.0,,7600.0,0.0,3.0,3.0,2,,5.0,5.0,5.0,94117,1500953417984
7,555,0.0,52.0,52.0,,14000.0,14000.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1502162298587
1,1950,,5.0,5.0,,20000.0,20000.0,,,2,,5.0,5.0,3.0,94133,150903656383
7,120,,2.0,2.0,,3500.0,3500.0,1.0,1.0,0,,5.0,5.0,2.0,94123,150355571025
1,400,102.0,3.0,3.0,,24750.0,24750.0,18.0,18.0,0,,5.0,5.0,2.0,94123,149497570496
5,88,,22.0,22.0,,8852.0,8852.0,0.0,0.0,2,,1.0,1.0,3.0,94108,1497974495356
3,850,0.0,5.0,5.0,,1.0,1.0,24.0,24.0,0,,5.0,5.0,3.0,94109,1496561413740
4,35,,2.0,2.0,,145000.0,145000.0,,,2,,5.0,5.0,11.0,94112,1497088468965
2,1636,,,,,85000.0,230000.0,,,2,,,,8.0,94131,1147123227410
2,3100,,1.0,,,6500.0,6500.0,0.0,,2,,5.0,,2.0,94118,148395288757
7,305,,6.0,6.0,,15275.0,15275.0,38.0,38.0,0,,5.0,5.0,5.0,94109,148125969883
6,123,,29.0,29.0,,27300.0,40000.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1489731164644
7,550,,2.0,2.0,,250000.0,175000.0,,,2,,3.0,3.0,3.0,94111,1489334495012
4,2341,,4.0,4.0,,15000.0,15000.0,0.0,0.0,2,,2.0,2.0,10.0,94107,1480882498917
2,1455,,22.0,22.0,,18150.0,18150.0,0.0,0.0,2,,1.0,1.0,6.0,94103,1486645394002
7,988,1.0,9.0,9.0,,50000.0,50000.0,,,2,,1.0,1.0,5.0,94102,1491310507370
2,3430,,3.0,3.0,,150000.0,180000.0,1.0,1.0,2,,5.0,5.0,2.0,94123,148691484098
7,200,,4.0,4.0,,5000.0,30000.0,,,2,,1.0,1.0,5.0,94102,1490977371622
6,450,,26.0,26.0,,25290.0,25290.0,0.0,0.0,2,,1.0,1.0,3.0,94108,148784966980
8,855,,5.0,5.0,,1.0,1.0,0.0,0.0,2,,1.0,1.0,3.0,94111,1485572349422
8,165,,6.0,6.0,,1.0,1.0,0.0,0.0,2,,1.0,1.0,3.0,94102,149150569772
8,301,,6.0,6.0,,1.0,1.0,,,2,,2.0,2.0,6.0,94107,1489096167833
7,2,,3.0,3.0,,2500.0,2500.0,0.0,0.0,2,,2.0,2.0,6.0,94105,1482892167102
7,1201,,4.0,4.0,,68670.0,68670.0,0.0,0.0,2,,1.0,1.0,6.0,94103,1484263373860
6,50,,2.0,2.0,,53000.0,0.0,1.0,1.0,2,,5.0,5.0,7.0,94131,1483064212803
6,415,,62.0,62.0,,4280.0,4280.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1484079495332
5,2800,,4.0,4.0,,8000.0,10000.0,,,2,,3.0,3.0,3.0,94133,148124456169
1,500,,2.0,2.0,,1.0,1.0,,,2,,5.0,5.0,2.0,94109,1484682499191
4,499,,6.0,6.0,,3000.0,10974.0,0.0,0.0,2,,1.0,1.0,6.0,94158,1483844501066
2,275,0.0,30.0,30.0,,25080.0,25100.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1479886296686
1,77,,2.0,2.0,,15000.0,15000.0,1.0,1.0,2,,5.0,5.0,2.0,94118,148481587900
6,275,0.0,30.0,30.0,,2000.0,1000.0,,,2,,1.0,1.0,3.0,94104,1483542296686
1,2629,,3.0,3.0,,55000.0,55000.0,1.0,1.0,0,,5.0,5.0,2.0,94123,148402274406
4,233,0.0,12.0,12.0,,39960.0,39960.0,,,2,,1.0,1.0,3.0,94104,1482316298588
6,740,0.0,3.0,3.0,,145560.0,145560.0,4.0,4.0,2,,3.0,3.0,10.0,94107,1482265398327
1,138,,4.0,4.0,,10000.0,10000.0,72.0,72.0,2,,3.0,3.0,6.0,94103,1491925164847
2,33,,3.0,3.0,,15000.0,15000.0,6.0,6.0,0,,5.0,5.0,6.0,94103,1486367249292
7,1,,43.0,43.0,,20700.0,,0.0,0.0,2,,1.0,1.0,6.0,94105,475036164604
1,999,,4.0,,,25000.0,25000.0,,,2,,2.0,,6.0,94103,1491372167593
2,112,,3.0,3.0,,1.0,1.0,4.0,4.0,2,,5.0,5.0,10.0,94124,1485015508312
8,44,,42.0,42.0,,1.0,145000.0,,,2,,1.0,1.0,3.0,94104,148218167101
2,1914,0.0,3.0,3.0,,40000.0,55000.0,6.0,6.0,2,,5.0,5.0,9.0,94103,1481065422423
8,3420,,2.0,2.0,,25000.0,25000.0,2.0,2.0,0,,5.0,5.0,2.0,94123,148513684456
4,999,,4.0,4.0,,5000.0,5000.0,,,2,,2.0,2.0,6.0,94103,1488832167593
5,415,,63.0,63.0,,1.0,1.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1482879495332
1,3278,,3.0,3.0,,5000.0,8000.0,2.0,2.0,2,,5.0,5.0,9.0,94110,1491065161801
3,650,,4.0,4.0,,173800.0,173800.0,0.0,0.0,2,,3.0,3.0,6.0,94103,1488125167599
8,235,,25.0,25.0,,3500.0,3500.0,,,2,,1.0,1.0,3.0,94104,148231466161
7,1490,,4.0,4.0,,70000.0,210000.0,15.0,15.0,2,,5.0,5.0,7.0,94112,1492065154673
5,425,0.0,26.0,26.0,,22500.0,22500.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1487840298601
5,1455,,,12.0,,1.0,1.0,,,2,,,1.0,6.0,94158,1487966504722
6,100,,33.0,33.0,,7060.0,86000.0,0.0,0.0,2,,1.0,1.0,3.0,94111,148073066079
4,50,,42.0,42.0,,1555265.0,1555265.0,,,2,,1.0,1.0,6.0,94105,1491983164581
2,299,0.0,15.0,15.0,,5000.0,9800.0,414.0,414.0,2,,1.0,1.0,6.0,94105,1488115480964
2,534,,2.0,2.0,,25000.0,25000.0,0.0,0.0,2,,5.0,5.0,6.0,94107,1481762425360
3,250,0.0,17.0,17.0,,42000.0,42000.0,,,2,,1.0,1.0,3.0,94104,1480870298316
7,1161,,5.0,5.0,,10000.0,10000.0,0.0,0.0,2,,3.0,3.0,6.0,94103,1485846165055
7,1433,,,8.0,,25000.0,500000.0,,40.0,2,,,1.0,3.0,94109,149197778416
5,325,,3.0,3.0,,100000.0,262000.0,,,2,,3.0,3.0,6.0,94107,1488334166135
