Permit Type,Street Number,Unit,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Estimated Cost,Revised Cost,Existing Units,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Proposed Construction Type,Supervisor District,Zipcode,Record ID
7,765,0.0,36.0,36.0,,400000.0,400000.0,139.0,139.0,2,,1.0,1.0,6.0,94103,1424939449618
3,601,,17.0,17.0,,7000.0,7000.0,,,2,,1.0,1.0,3.0,94111,140842862299
5,235,0.0,4.0,4.0,,109320.0,109320.0,,,2,,1.0,1.0,6.0,94105,1419786480622
5,1036,,5.0,5.0,,1.0,1.0,37.0,38.0,2,,3.0,3.0,3.0,94109,1428331266564
3,100,,35.0,35.0,,8967.0,8967.0,,,2,,1.0,1.0,3.0,94111,141326266079
6,1424,,3.0,3.0,,60000.0,75000.0,12.0,12.0,2,,5.0,5.0,3.0,94109,1411287234909
8,1250,0.0,4.0,4.0,,70000.0,75000.0,15.0,15.0,2,,5.0,5.0,3.0,94108,1419425296430
5,1,1.0,21.0,21.0,,1.0,1.0,239.0,239.0,2,,1.0,1.0,2.0,94109,142741679578
5,425,,38.0,38.0,,40040.0,40040.0,,,2,,1.0,1.0,6.0,94105,1419112164577
3,1023,,1.0,1.0,,10000.0,10000.0,0.0,0.0,2,,2.0,2.0,6.0,94103,1414881164935
1,1244,,3.0,3.0,,2000.0,4872.0,,,2,,3.0,3.0,3.0,94109,142053878405
7,185,,5.0,5.0,,1.0,1.0,0.0,0.0,2,,1.0,1.0,6.0,94158,1417675388160
2,300,0.0,25.0,25.0,,1.0,1.0,0.0,0.0,2,,1.0,1.0,3.0,94111,1565323469987
7,275,0.0,30.0,30.0,,439516.0,500000.0,,,2,,1.0,1.0,3.0,94104,1421141296686
3,2626,,3.0,3.0,,1.0,1.0,2.0,2.0,2,,5.0,5.0,2.0,94123,142168773117
8,989,,6.0,6.0,,37000.0,37000.0,,,2,,1.0,1.0,6.0,94103,1426868351558
6,1161,,5.0,5.0,,340000.0,340000.0,0.0,0.0,2,,3.0,3.0,6.0,94103,1416891165055
4,2016,,5.0,5.0,,4500.0,4500.0,40.0,40.0,2,,5.0,5.0,2.0,94123,1415046377795
8,1,,42.0,42.0,,3500.0,3500.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1425333164605
3,2165,,5.0,5.0,,40000.0,54000.0,31.0,31.0,2,,3.0,3.0,3.0,94109,141260973943
1,1499,,2.0,2.0,,500.0,500.0,1.0,1.0,2,,5.0,5.0,9.0,94110,1410091502571
5,220,,22.0,22.0,,1.0,1.0,,,0,,1.0,1.0,3.0,94104,141519966168
1,3242,,4.0,4.0,,10000.0,10000.0,1.0,1.0,2,,5.0,5.0,2.0,94115,141560286037
2,110,,,,,10000.0,10000.0,,,2,,,,6.0,94105,1410670164621
4,8,,0.0,0.0,,12000.0,12000.0,0.0,0.0,2,,5.0,5.0,3.0,94105,1409784505548
7,189,,0.0,4.0,,5000.0,5000.0,0.0,2.0,2,,,5.0,7.0,94132,1410449504413
8,1370,,1.0,1.0,,3000.0,7500.0,0.0,0.0,2,,3.0,3.0,10.0,94124,1421356495514
1,1050,,5.0,5.0,,88287.0,89000.0,165.0,165.0,2,,3.0,3.0,5.0,94109,1420228236673
8,101,,28.0,28.0,,1.0,1.0,,,2,,1.0,1.0,3.0,94104,157640067035
3,71,,4.0,4.0,,20000.0,20000.0,1.0,1.0,2,,5.0,5.0,2.0,94118,142366587899
5,1100,,8.0,8.0,,4000.0,4000.0,135.0,135.0,2,,1.0,1.0,5.0,94102,141589970098
2,123,,6.0,6.0,,10700.0,20900.0,0.0,0.0,2,,1.0,1.0,6.0,94107,1408360167870
3,3,,31.0,31.0,,7100.0,7100.0,0.0,0.0,2,,1.0,1.0,3.0,94111,142375863349
8,3605,0.0,3.0,3.0,,3000.0,3000.0,20.0,20.0,2,,5.0,5.0,9.0,94110,1411713398256
4,425,,38.0,38.0,,1020.0,1020.0,,,2,,1.0,1.0,6.0,94105,1422430164577
5,1,,2.0,2.0,,5500.0,5500.0,3.0,3.0,2,,3.0,3.0,6.0,94103,1416264496272
3,30,,6.0,6.0,,260000.0,260000.0,,,2,,3.0,3.0,6.0,94103,1417244504656
3,2280,,3.0,3.0,,15000.0,15000.0,15.0,15.0,2,,5.0,5.0,2.0,94115,14270261170
2,685,,10.0,10.0,,88000.0,144056.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1415769164499
4,1408,0.0,5.0,5.0,,25000.0,25000.0,37.0,37.0,2,,3.0,3.0,3.0,94109,1424022297368
7,1333,,2.0,2.0,,45000.0,100102.0,1.0,1.0,2,,5.0,5.0,3.0,94133,141339956226
6,1455,,22.0,22.0,,48000.0,58982.0,,,2,,1.0,1.0,6.0,94103,1426453394002
6,98,,,4.0,,2500.0,6092.0,,2.0,2,,,3.0,9.0,94134,1417101492468
5,1,,43.0,43.0,,10000.0,100000.0,,,2,,1.0,1.0,6.0,94105,1422757164605
2,601,,20.0,20.0,,22975.0,26000.0,0.0,0.0,2,,1.0,1.0,3.0,94111,141243662299
6,865,,8.0,,,5000.0,5000.0,0.0,,2,,1.0,,6.0,94103,1421204164435
5,1304,,3.0,3.0,,70000.0,75000.0,12.0,12.0,2,,5.0,5.0,3.0,94109,141579972032
2,250,,45.0,45.0,,65000.0,65000.0,,,2,,1.0,1.0,6.0,94105,1569393509623
2,101,,22.0,22.0,,180000.0,0.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1410006350376
7,275,0.0,32.0,32.0,,500.0,500.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1414515296686
4,1868,,,8.0,,100.0,100.0,,35.0,2,,,1.0,3.0,94109,141958576456
6,2300,0.0,3.0,3.0,,60000.0,60000.0,6.0,6.0,2,,5.0,5.0,2.0,94123,1422508419895
8,343,0.0,16.0,16.0,,5600.0,5600.0,,,2,,1.0,1.0,3.0,94104,1418598392321
6,100,,6.0,6.0,,1.0,1.0,,,2,,3.0,3.0,5.0,94102,142055070113
4,1268,,3.0,3.0,,2000.0,4872.0,,,2,,3.0,3.0,3.0,94109,1420331362565
4,685,,10.0,,,9000.0,9000.0,0.0,,2,,,,6.0,94105,1416869164499
4,295,,4.0,4.0,,6000.0,9600.0,,,2,,2.0,2.0,3.0,94133,141983656448
1,1455,,,12.0,,30000.0,58500.0,,0.0,2,,,1.0,6.0,94158,1576940504722
1,899,,5.0,,,6000.0,6000.0,18.0,,2,,5.0,,9.0,94110,1421877368357
6,550,0.0,14.0,14.0,,400000.0,400000.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1417225296598
7,1489,,14.0,14.0,,10000.0,10000.0,156.0,156.0,2,,1.0,1.0,5.0,94115,142703379983
1,123,,2.0,2.0,,10000.0,10000.0,1.0,1.0,2,,5.0,5.0,9.0,94110,1421738185206
8,945,,0.0,5.0,,2000.0,2000.0,0.0,0.0,2,,,1.0,6.0,94103,1425974489538
7,5298,,1.0,1.0,,3000.0,3000.0,,,2,,5.0,5.0,10.0,94124,1426680371898
2,2268,,2.0,2.0,,75000.0,75000.0,,,2,,5.0,5.0,2.0,94123,1414546428922
4,100,,15.0,15.0,,12000.0,12000.0,,,2,,1.0,1.0,3.0,94111,142233063367
5,4,,40.0,40.0,,510.0,600.0,0.0,0.0,2,,1.0,1.0,3.0,94111,142640563352
2,275,0.0,30.0,30.0,,481789.0,481789.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1413449296686
7,101,,26.0,26.0,,1270.0,1270.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1570706451384
6,501,0.0,8.0,8.0,,10000.0,,236.0,236.0,2,,1.0,1.0,5.0,94102,1423964300717
7,1350,,1.0,1.0,,3000.0,7500.0,0.0,0.0,2,,3.0,3.0,10.0,94124,1421355495515
7,179,,0.0,4.0,,5000.0,5000.0,0.0,2.0,2,,,5.0,7.0,94132,1410442504410
6,455,,23.0,23.0,,1500.0,1500.0,,,2,,1.0,1.0,6.0,94105,1426627164576
4,2172,,1.0,1.0,,160000.0,350000.0,0.0,0.0,2,,5.0,5.0,9.0,94110,1420893159406
7,121,,25.0,,,4000.0,4000.0,320.0,,2,,1.0,,6.0,94105,1423597436366
4,1639,,0.0,3.0,,1.0,1.0,0.0,0.0,2,,,2.0,5.0,94117,142239192928
1,3701,,,3.0,,560000.0,560000.0,,12.0,2,,,5.0,4.0,94122,1568401124987
8,106,,7.0,7.0,,5000.0,5000.0,132.0,121.0,2,,3.0,3.0,6.0,94103,1420213249127
7,190,,2.0,2.0,,40000.0,40000.0,,,2,,3.0,3.0,10.0,94124,1424522360721
8,700,,3.0,3.0,,5000.0,5000.0,1.0,1.0,2,,5.0,5.0,1.0,94121,141713595836
6,550,,10.0,10.0,,20000.0,28000.0,0.0,0.0,2,,1.0,1.0,3.0,94108,1570406350373
3,1,,28.0,28.0,,4000.0,4000.0,,,2,,1.0,1.0,6.0,94105,1424066164604
2,425,,39.0,39.0,,35000.0,35000.0,,,2,,1.0,1.0,6.0,94105,1422327164577
5,1011,2.0,4.0,4.0,,14000.0,14000.0,20.0,20.0,2,,5.0,5.0,10.0,94107,1416880446835
5,1320,,1.0,1.0,,3000.0,7500.0,0.0,0.0,2,,3.0,3.0,10.0,94124,1421352495517
5,37,,4.0,4.0,,120000.0,120000.0,1.0,1.0,0,,5.0,5.0,2.0,94115,142789185622
5,200,,,9.0,,1.0,6000.0,,67.0,2,,,1.0,6.0,94103,1412638165338
3,101,,26.0,26.0,,24460.0,24460.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1422607451384
2,44,,42.0,42.0,,28000.0,28000.0,,,2,,1.0,1.0,3.0,94104,142476967101
6,3315,0.0,2.0,2.0,,5000.0,5000.0,1.0,1.0,2,,5.0,5.0,9.0,94110,1423888482888
2,401,,17.0,,,4000.0,,,,2,,1.0,,5.0,94102,1412514505990
4,687,,5.0,5.0,,15000.0,65000.0,27.0,27.0,2,,5.0,5.0,5.0,94102,1420459455114
6,1080,15.0,18.0,18.0,,100000.0,20000.0,58.0,58.0,2,,1.0,1.0,2.0,94109,1422532433986
2,3301,,1.0,1.0,,11000.0,0.0,0.0,0.0,2,,1.0,1.0,2.0,94123,1411428373651
1,655,,26.0,26.0,,30000.0,30000.0,33.0,33.0,2,,1.0,1.0,3.0,94111,156701762300
7,600,0.0,48.0,48.0,,325000.0,350000.0,,,2,,1.0,1.0,3.0,94111,1410842296199
5,1,,40.0,40.0,,1530.0,1530.0,0.0,0.0,2,,1.0,1.0,3.0,94126,142274863347
6,180,,13.0,13.0,,120000.0,120000.0,,,2,,1.0,1.0,6.0,94105,1423502164641
1,343,0.0,16.0,16.0,,450000.0,450000.0,0.0,0.0,2,,3.0,3.0,3.0,94104,1409635392321
6,200,0.0,0.0,9.0,,1.0,1.0,0.0,67.0,2,,,1.0,6.0,94103,1408792398601
8,301,,6.0,6.0,,265000.0,265000.0,,,2,,2.0,2.0,6.0,94107,1417383167833
3,101,,5.0,5.0,,35250.0,63600.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1414540164631
1,1036,,5.0,5.0,,1.0,1.0,36.0,37.0,2,,3.0,3.0,3.0,94109,1428333266564
1,665,,5.0,5.0,,2200.0,5000.0,0.0,0.0,2,,1.0,1.0,6.0,94107,1414591364873
4,475,,21.0,21.0,,18660.0,18060.0,0.0,0.0,2,,1.0,1.0,3.0,94111,157167963342
5,274,,2.0,2.0,,550.0,550.0,,,2,,5.0,5.0,9.0,94110,1416267159237
5,425,,38.0,38.0,,686000.0,686000.0,,,2,,1.0,1.0,6.0,94105,1425241164577
8,445,,2.0,2.0,,7000.0,7000.0,,,2,,3.0,3.0,3.0,94111,1419759464251
2,1,,,,,4000.0,,,,2,,,,6.0,94105,1411743164605
1,2231,0.0,3.0,3.0,,75000.0,75000.0,6.0,6.0,2,,5.0,5.0,2.0,94115,1423515417731
6,160,,19.0,19.0,,70000.0,80000.0,,,2,,1.0,1.0,6.0,94105,1411299164635
4,55,0.0,25.0,25.0,,1.0,1.0,,,2,,1.0,1.0,6.0,94105,1410801394477
3,1171,,1.0,1.0,,30000.0,0.0,0.0,0.0,2,,5.0,5.0,6.0,94103,1414149166337
5,21,,2.0,2.0,,86000.0,86000.0,1.0,1.0,2,,5.0,5.0,9.0,94103,1425362158181
3,100,,29.0,29.0,,8000.0,8000.0,0.0,0.0,2,,1.0,1.0,3.0,94104,141535266157
6,100,,25.0,25.0,,85000.0,191280.0,,,2,,1.0,1.0,3.0,94104,1413382372147
8,801,,5.0,5.0,,1.0,1.0,,,2,,1.0,1.0,3.0,94133,142503661599
3,145,0.0,3.0,3.0,,,1000.0,,,2,,2.0,2.0,3.0,94133,1413862392179
2,799,,8.0,8.0,,66000.0,66000.0,0.0,0.0,2,,1.0,1.0,6.0,94103,1413704164442
6,1,401.0,8.0,8.0,,16830.0,16830.0,44.0,44.0,2,,1.0,1.0,3.0,94102,1425429452458
6,101,,21.0,21.0,,250000.0,250000.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1575716368933
1,101,,48.0,48.0,,19385.0,19385.0,0.0,0.0,2,,1.0,1.0,3.0,94111,141406866081
8,1550,,12.0,12.0,,3000.0,3000.0,,,2,,1.0,1.0,9.0,94103,1412972168058
4,150,,2.0,2.0,,311880.0,1370000.0,0.0,0.0,2,,3.0,3.0,3.0,94133,1411134347545
4,1275,,2.0,2.0,,20000.0,133200.0,0.0,0.0,2,,3.0,3.0,10.0,94107,1421213172515
6,600,0.0,20.0,20.0,,524750.0,524750.0,,,2,,1.0,1.0,3.0,94108,1416893429338
8,1,,32.0,32.0,,6760.0,2600.0,0.0,0.0,2,,1.0,1.0,3.0,94111,141453666082
5,1,,,,,50000.0,50000.0,0.0,0.0,2,,,,6.0,94130,1410037488284
4,350,,28.0,28.0,,46530.0,46530.0,,,2,,1.0,1.0,6.0,94105,1420220164586
6,2340,0.0,7.0,7.0,,68000.0,68000.0,,,2,,1.0,1.0,2.0,94115,1427636304964
4,250,,4.0,4.0,,10000.0,250000.0,361.0,361.0,2,,1.0,1.0,3.0,94133,1401646230553
6,550,0.0,14.0,14.0,,60000.0,60000.0,,,2,,1.0,1.0,3.0,94104,1398988296598
1,625,,4.0,4.0,,400000.0,400000.0,,,2,,3.0,3.0,6.0,94107,1403722167843
3,66,,16.0,,,5000.0,5000.0,0.0,,2,,1.0,,3.0,94108,1399735430525
7,345,,5.0,5.0,,35000.0,35000.0,0.0,0.0,2,,1.0,1.0,6.0,94107,1407186167835
6,1,,43.0,43.0,,33900.0,33900.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1401324164605
6,555,0.0,52.0,52.0,,29300.0,25700.0,,,2,,1.0,1.0,3.0,94104,1405055298587
2,50,,37.0,37.0,,1.0,9360.0,,,2,,1.0,1.0,3.0,94111,140056563364
8,100,,25.0,25.0,,10000.0,175655.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1404240372147
5,1,,,,,2260.0,2260.0,,,2,,,,6.0,94105,1405676164604
5,133,,4.0,4.0,,30000.0,30000.0,,,2,,3.0,3.0,6.0,94105,1400000164693
2,36,,3.0,3.0,,1.0,1.0,1.0,1.0,2,,5.0,5.0,9.0,94110,1398619186605
2,975,0.0,3.0,3.0,,30000.0,30000.0,10.0,10.0,2,,5.0,5.0,9.0,94110,1404430398826
1,685,,11.0,11.0,,20000.0,30000.0,,,2,,1.0,1.0,6.0,94105,1400686164499
8,360,,7.0,7.0,,8806.0,8789.0,,,2,,1.0,1.0,6.0,94107,1399908488748
6,1,,11.0,11.0,,1000000.0,1000000.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1402788164604
7,1,,42.0,42.0,,29200.0,29200.0,,,2,,1.0,1.0,6.0,94105,1406190164605
3,551,,,3.0,,5000.0,5000.0,0.0,9.0,0,,,5.0,10.0,94124,1399828500231
8,2675,,,4.0,,300.0,300.0,,0.0,2,,,5.0,2.0,94115,156507389456
6,600,,3.0,3.0,,71995.0,71995.0,0.0,0.0,2,,2.0,2.0,3.0,94111,140099361548
2,2131,,2.0,2.0,,150000.0,300000.0,2.0,2.0,2,,5.0,5.0,10.0,94107,1559774172562
5,1935,,6.0,6.0,,1.0,1.0,42.0,42.0,2,,2.0,2.0,2.0,94109,1407326235916
7,32,,5.0,5.0,,52710.0,52710.0,0.0,0.0,2,,1.0,1.0,6.0,94103,1564599502582
1,2898,,,5.0,,1.0,0.0,,56.0,2,,,1.0,4.0,94116,1558499261598
3,505,0.0,20.0,20.0,,10000.0,10000.0,0.0,0.0,2,,1.0,1.0,3.0,94111,1405986296243
4,510,,,,,15000.0,500000.0,,,2,,,,6.0,94103,1399403369644
8,1755,,19.0,19.0,,18000.0,18000.0,190.0,190.0,0,,1.0,1.0,5.0,94115,1400508493656
7,1400,,2.0,2.0,,941.0,941.0,,,2,,3.0,3.0,6.0,94103,1401006168094
3,1301,,1.0,1.0,,20000.0,34800.0,0.0,0.0,2,,2.0,2.0,10.0,94124,1404123487094
8,3215,,2.0,2.0,,20000.0,20000.0,1.0,1.0,2,,5.0,5.0,9.0,94110,1402593183620
2,737,0.0,6.0,6.0,,40000.0,40000.0,40.0,40.0,2,,3.0,3.0,3.0,94108,1402824298949
7,555,,2.0,2.0,,200000.0,200000.0,0.0,0.0,2,,2.0,2.0,6.0,94103,1405015167586
8,750,0.0,26.0,,,5000.0,5000.0,549.0,,2,,1.0,,3.0,94108,1403540296308
2,1,,40.0,40.0,,210000.0,210000.0,0.0,0.0,2,,1.0,1.0,3.0,94126,155904463347
2,989,,6.0,6.0,,35000.0,90000.0,0.0,0.0,2,,1.0,1.0,6.0,94103,1406161351558
7,300,,32.0,,,8000.0,8000.0,,,2,,1.0,,6.0,94105,1399588502647
5,270,,7.0,7.0,,37700.0,39700.0,0.0,0.0,2,,1.0,1.0,6.0,94107,1405227167192
1,555,0.0,52.0,52.0,,4000.0,4000.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1403876298587
1,455,,15.0,15.0,,18000.0,20000.0,362.0,362.0,0,,1.0,1.0,5.0,94109,1400512388296
4,1,,27.0,27.0,,8500.0,8500.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1406754164605
8,1865,1.0,3.0,3.0,,80000.0,100000.0,6.0,6.0,2,,5.0,5.0,2.0,94109,1400694410135
7,101,,48.0,48.0,,10807.0,8500.0,,,2,,1.0,1.0,3.0,94111,140036466081
8,1167,,4.0,4.0,,1.0,1.0,,,2,,3.0,3.0,6.0,94103,1399741165062
5,555,0.0,52.0,52.0,,35000.0,60000.0,,,2,,1.0,1.0,3.0,94104,1397234298587
5,44,,44.0,44.0,,30000.0,30000.0,,,2,,1.0,1.0,3.0,94104,139189467101
7,33,,20.0,20.0,,571395.0,571395.0,,,2,,1.0,1.0,6.0,94105,1393018164504
3,55,,8.0,8.0,,851000.0,1477259.0,,,2,,1.0,1.0,3.0,94133,1552223489803
3,201,,30.0,30.0,,5000.0,5000.0,,,2,,1.0,1.0,6.0,94105,1397555164647
6,260,,1.0,1.0,,90000.0,280000.0,0.0,0.0,2,,3.0,3.0,6.0,94103,1537984165164
8,405,,25.0,25.0,,425000.0,425000.0,178.0,178.0,2,,1.0,1.0,3.0,94111,1547287497332
1,845,,8.0,,,2200.0,2200.0,,,2,,1.0,,6.0,94103,1547175448478
5,28,,2.0,2.0,,12000.0,20000.0,,,2,,5.0,5.0,6.0,94107,1537001470415
5,3829,,3.0,3.0,,40000.0,60000.0,1.0,1.0,2,,5.0,5.0,2.0,94118,139632487137
2,701,,4.0,4.0,,85000.0,185400.0,18.0,18.0,2,,3.0,3.0,5.0,94117,155598782463
4,1033,,3.0,3.0,,2000.0,2000.0,0.0,0.0,2,,5.0,5.0,1.0,94118,1391824432334
7,275,0.0,30.0,30.0,,9965.0,9965.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1545426296686
2,345,,48.0,48.0,,550000.0,1600000.0,161.0,161.0,2,,1.0,1.0,3.0,94104,1555580448690
6,430,,21.0,21.0,,150000.0,150000.0,,,2,,1.0,1.0,3.0,94104,154402963401
1,601,,7.0,7.0,,13000.0,23044.0,72.0,72.0,2,,3.0,3.0,5.0,94109,1396000233894
4,600,,6.0,6.0,,1800000.0,1800000.0,,,2,,1.0,1.0,6.0,94107,1394896165832
6,201,,30.0,30.0,,982000.0,982000.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1535615164647
5,222,,,26.0,,30000.0,27100.0,0.0,0.0,2,,,1.0,6.0,94105,1395860165594
6,50,,,,,1000.0,1000.0,,,2,,,,6.0,94105,1395114164582
2,1460,,3.0,,,2500.0,2500.0,0.0,,2,,2.0,,5.0,94115,1391529432123
5,188,,8.0,8.0,,2500000.0,2500000.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1395318164628
8,50,,43.0,43.0,,6180.0,6200.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1391761164573
8,425,,38.0,38.0,,39500.0,39500.0,,,2,,1.0,1.0,6.0,94105,1393720164577
5,333,,,6.0,,1.0,1.0,,,2,,,1.0,6.0,94107,1393058488747
8,250,,45.0,45.0,,1800000.0,1800000.0,,,2,,1.0,1.0,6.0,94105,1548066509623
6,3065,,3.0,3.0,,2000.0,2000.0,,,2,,1.0,1.0,2.0,94115,139133185986
2,415,,63.0,63.0,,54100.0,54100.0,,,2,,1.0,1.0,6.0,94105,1545428495332
6,552,,2.0,2.0,,21500.0,21500.0,1.0,1.0,2,,5.0,5.0,5.0,94117,139102882833
7,235,,25.0,25.0,,300000.0,300000.0,,,2,,1.0,1.0,3.0,94104,153751766161
4,161,,7.0,7.0,,2000.0,2000.0,105.0,105.0,2,,3.0,3.0,3.0,94102,1543658266372
6,46,,4.0,4.0,,1.0,1.0,2.0,2.0,2,,5.0,5.0,2.0,94123,1395283487351
3,303,,9.0,9.0,,319485.0,319485.0,,,2,,1.0,1.0,6.0,94105,1395136347172
6,3888,,3.0,3.0,,50000.0,50000.0,1.0,1.0,2,,5.0,5.0,8.0,94131,1398183207222
7,1,,45.0,45.0,,1480.0,1480.0,,,2,,1.0,1.0,3.0,94126,154324863347
5,1663,,7.0,7.0,,30000.0,30000.0,,,2,,1.0,1.0,6.0,94103,1551753156496
6,101,,48.0,48.0,,110000.0,110000.0,,,2,,1.0,1.0,3.0,94111,139299866081
8,2312,,4.0,4.0,,3000.0,15000.0,1.0,1.0,2,,5.0,5.0,2.0,94115,139744176191
1,1355,,11.0,11.0,,250000.0,250000.0,,,2,,2.0,2.0,6.0,94103,1543766347127
8,766,,1.0,1.0,,20000.0,20000.0,0.0,0.0,2,,2.0,2.0,3.0,94133,1397237349235
2,735,,4.0,4.0,,9000.0,9000.0,,,2,,3.0,3.0,3.0,94111,139586762223
6,44,,4.0,4.0,,1.0,1.0,2.0,2.0,2,,5.0,5.0,2.0,94123,139159671175
3,475,,4.0,4.0,,6430.0,15500.0,,,2,,1.0,1.0,6.0,94107,1393017167709
7,1840,,4.0,4.0,,50000.0,75000.0,4.0,4.0,2,,5.0,5.0,3.0,94109,1391523232558
1,555,0.0,52.0,52.0,,1.0,1.0,,,2,,1.0,1.0,3.0,94104,1547085298587
3,551,,,3.0,,750.0,1800.0,,9.0,2,,,5.0,10.0,94124,1392243500231
5,920,,7.0,7.0,,1.0,1.0,54.0,54.0,2,,4.0,4.0,2.0,94109,1397972503945
6,1,,38.0,38.0,,80500.0,900000.0,,,2,,1.0,1.0,3.0,94111,1553337390418
3,1483,1505.0,14.0,14.0,,420000.0,420000.0,164.0,164.0,2,,1.0,1.0,2.0,94109,139525779557
1,180,,13.0,13.0,,120000.0,120000.0,,,2,,1.0,1.0,6.0,94105,1392615164641
6,201,,8.0,8.0,,4000.0,,,,2,,2.0,2.0,3.0,94104,1391812371921
8,1142,,3.0,3.0,,20000.0,30000.0,1.0,1.0,2,,5.0,5.0,3.0,94109,154450158629
1,2612,,4.0,4.0,,1.0,1.0,1.0,1.0,2,,5.0,5.0,2.0,94123,139414474412
3,490,1135.0,13.0,13.0,,56000.0,56000.0,0.0,0.0,2,,5.0,5.0,3.0,94102,1395014477880
2,44,,42.0,42.0,,5665.0,6000.0,,,2,,1.0,1.0,3.0,94104,139539067101
6,235,,31.0,31.0,,195000.0,195000.0,,,2,,1.0,1.0,3.0,94104,139281666177
1,1000,0.0,,,,1500000.0,1500000.0,,,2,,,,10.0,94124,1395727395554
1,144,,3.0,3.0,,100000.0,230000.0,,,2,,1.0,1.0,6.0,94107,1392182167817
8,555,0.0,52.0,52.0,,400000.0,650000.0,,,2,,1.0,1.0,3.0,94104,1397236298587
5,160,,7.0,7.0,,7982.0,7982.0,,,2,,1.0,1.0,3.0,94111,1393010350742
5,2060,,,9.0,,134600.0,134600.0,,127.0,2,,,1.0,9.0,94110,1550913510147
3,1525,,1.0,1.0,,250000.0,500000.0,,,2,,5.0,5.0,9.0,94110,1397846186009
8,760,,2.0,2.0,,7710.0,7700.0,0.0,0.0,2,,1.0,1.0,6.0,94107,1396006165852
8,1212,,,3.0,,75000.0,200000.0,,1.0,2,,,5.0,10.0,94124,1544129512388
2,50,,6.0,6.0,,20000.0,62000.0,63.0,63.0,2,,3.0,3.0,8.0,94102,1397895238028
4,150,,2.0,2.0,,4000.0,0.0,0.0,0.0,2,,5.0,5.0,6.0,94103,1397133164978
5,2072,,2.0,2.0,,8000.0,12000.0,2.0,2.0,2,,5.0,5.0,2.0,94118,1397192461996
1,2160,,,3.0,,5000.0,16400.0,,3.0,2,,,5.0,5.0,94117,1544683360433
6,650,0.0,34.0,34.0,,40140.0,40140.0,,,2,,1.0,1.0,3.0,94108,1392845296980
3,455,,23.0,23.0,,39900.0,39900.0,,,2,,1.0,1.0,6.0,94105,1547590164576
1,201,,17.0,17.0,,13650.0,13650.0,,,2,,1.0,1.0,3.0,94111,153641166080
1,550,0.0,14.0,14.0,,1500000.0,1500000.0,,,2,,1.0,1.0,3.0,94104,1547495296598
2,4,,45.0,45.0,,76000.0,196348.0,,,2,,1.0,1.0,3.0,94111,139263263351
3,461,,2.0,,,3000.0,3000.0,,,2,,3.0,,6.0,94107,1395828167313
3,1355,,11.0,11.0,,5000.0,5000.0,0.0,0.0,2,,1.0,1.0,6.0,94103,1379443347127
8,2350,,4.0,4.0,,8300.0,8300.0,11.0,11.0,2,,5.0,5.0,3.0,94109,153257473989
4,1042,,3.0,3.0,,10000.0,10000.0,48.0,51.0,2,,5.0,5.0,6.0,94103,1379795270435
8,1263,,3.0,3.0,,120000.0,200000.0,0.0,0.0,2,,3.0,3.0,6.0,94103,1379647165152
8,821,0.0,3.0,3.0,,50000.0,50000.0,6.0,6.0,2,,5.0,5.0,5.0,94115,1383290417540
2,188,,8.0,8.0,,45000.0,45000.0,,,2,,1.0,1.0,6.0,94105,1379362164628
5,50,,42.0,42.0,,250000.0,250000.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1382095164581
3,933,,6.0,6.0,,4000.0,5500.0,67.0,67.0,2,,2.0,2.0,10.0,94107,1381801491579
4,933,,6.0,6.0,,10000.0,10000.0,67.0,67.0,2,,2.0,2.0,10.0,94107,1383630491579
1,315,0.0,16.0,16.0,,4500.0,,,,2,,1.0,1.0,3.0,94104,1379841298474
5,163,,0.0,4.0,,3000.0,3000.0,0.0,2.0,2,,,5.0,7.0,94132,1380054501231
3,456,,,3.0,,5000.0,5000.0,0.0,2.0,2,,,5.0,8.0,94131,1388664208079
5,3,,30.0,30.0,,2000000.0,2000000.0,,,2,,1.0,1.0,3.0,94111,138229063349
5,173,,0.0,4.0,,1.0,1.0,0.0,2.0,0,,,5.0,7.0,94132,1386191504119
5,585,,3.0,3.0,,20000.0,70000.0,1.0,1.0,2,,5.0,5.0,2.0,94123,138262183893
